mood,strategy,genre,s_subj,s_meta,n_counts
happiness,amplify,pop,0.33438,0.39583,37
happiness,amplify,rock,-0.11193,0.02083,1
happiness,amplify,classical,-0.07262,0.03125,2
happiness,amplify,hiphop,0.06197,0.19792,18
happiness,amplify,jazz,0.05555,0.16667,15
happiness,amplify,edm,0.05509,0.14583,13
happiness,amplify,ambient,-0.13451,0.02083,1
happiness,amplify,metal,-0.09621,0.02083,1
happiness,suppress,pop,-0.08922,0.0885,9
happiness,suppress,rock,-0.09913,0.0531,5
happiness,suppress,classical,0.04075,0.12389,13
happiness,suppress,hiphop,-0.209,0.0177,1
happiness,suppress,jazz,-0.09079,0.02655,2
happiness,suppress,edm,-0.10063,0.02655,2
happiness,suppress,ambient,0.19153,0.31858,35
happiness,suppress,metal,0.17928,0.34513,38
happiness,stabilize,pop,0.03818,0.13889,14
happiness,stabilize,rock,0.36349,0.46296,49
happiness,stabilize,classical,-0.18297,0.01852,1
happiness,stabilize,hiphop,-0.0057,0.17593,18
happiness,stabilize,jazz,0.0245,0.13889,14
happiness,stabilize,edm,-0.03216,0.02778,2
happiness,stabilize,ambient,-0.11369,0.01852,1
happiness,stabilize,metal,-0.12763,0.01852,1
happiness,focus,pop,0.28039,0.46429,38
happiness,focus,rock,-0.08296,0.05952,4
happiness,focus,classical,-0.11435,0.07143,5
happiness,focus,hiphop,-0.12851,0.03571,2
happiness,focus,jazz,-0.03704,0.13095,10
happiness,focus,edm,0.0157,0.14286,11
happiness,focus,ambient,-0.14911,0.07143,5
happiness,focus,metal,-0.189,0.02381,1
happiness,neutralize,pop,-0.06163,0.02778,1
happiness,neutralize,rock,-0.17003,0.02778,1
happiness,neutralize,classical,0.00737,0.09722,6
happiness,neutralize,hiphop,-0.00953,0.125,8
happiness,neutralize,jazz,0.05856,0.125,8
happiness,neutralize,edm,-0.04182,0.05556,3
happiness,neutralize,ambient,0.48786,0.47222,33
happiness,neutralize,metal,-0.02695,0.06944,4
happiness,gradual,pop,0.4775,0.46753,35
happiness,gradual,rock,-0.07839,0.11688,8
happiness,gradual,classical,0.11426,0.20779,15
happiness,gradual,hiphop,-0.1652,0.02597,1
happiness,gradual,jazz,-0.01523,0.09091,6
happiness,gradual,edm,-0.10488,0.03896,2
happiness,gradual,ambient,-0.20472,0.02597,1
happiness,gradual,metal,-0.06676,0.02597,1
sadness,amplify,pop,0.00672,0.08434,6
sadness,amplify,rock,-0.14488,0.04819,3
sadness,amplify,classical,-0.08746,0.04819,3
sadness,amplify,hiphop,0.01457,0.0241,1
sadness,amplify,jazz,0.44661,0.50602,41
sadness,amplify,edm,0.01142,0.07229,5
sadness,amplify,ambient,-0.00059,0.12048,9
sadness,amplify,metal,-0.00366,0.09639,7
sadness,suppress,pop,-0.03033,0.04,3
sadness,suppress,rock,0.01097,0.08,7
sadness,suppress,classical,-0.06405,0.08,7
sadness,suppress,hiphop,-0.0104,0.1,9
sadness,suppress,jazz,-0.2405,0.02,1
sadness,suppress,edm,-0.17782,0.02,1
sadness,suppress,ambient,-0.13469,0.02,1
sadness,suppress,metal,0.53496,0.64,63
sadness,stabilize,pop,0.00841,0.04255,3
sadness,stabilize,rock,-0.10994,0.02128,1
sadness,stabilize,classical,-0.09893,0.05319,4
sadness,stabilize,hiphop,-0.02838,0.10638,9
sadness,stabilize,jazz,0.62955,0.64894,60
sadness,stabilize,edm,-0.13213,0.08511,7
sadness,stabilize,ambient,-0.11032,0.02128,1
sadness,stabilize,metal,-0.13806,0.02128,1
sadness,focus,pop,-0.01421,0.06667,4
sadness,focus,rock,-0.14594,0.04,2
sadness,focus,classical,0.284,0.41333,30
sadness,focus,hiphop,-0.08445,0.02667,1
sadness,focus,jazz,-0.09298,0.05333,3
sadness,focus,edm,-0.06477,0.04,2
sadness,focus,ambient,0.23741,0.33333,24
sadness,focus,metal,-0.0773,0.02667,1
sadness,neutralize,pop,-0.10853,0.0274,1
sadness,neutralize,rock,-0.12971,0.06849,4
sadness,neutralize,classical,0.10507,0.21918,15
sadness,neutralize,hiphop,-0.11553,0.0274,1
sadness,neutralize,jazz,-0.02167,0.0274,1
sadness,neutralize,edm,0.01144,0.09589,6
sadness,neutralize,ambient,0.43697,0.50685,36
sadness,neutralize,metal,-0.09911,0.0274,1
sadness,gradual,pop,-0.02507,0.10714,11
sadness,gradual,rock,-0.09549,0.03571,3
sadness,gradual,classical,0.43664,0.49107,54
sadness,gradual,hiphop,0.24058,0.19643,21
sadness,gradual,jazz,0.01195,0.09821,10
sadness,gradual,edm,-0.14761,0.02679,2
sadness,gradual,ambient,-0.074,0.01786,1
sadness,gradual,metal,-0.13034,0.02679,2
stress,amplify,pop,-0.05468,0.03125,2
stress,amplify,rock,-0.0338,0.125,11
stress,amplify,classical,0.01641,0.17708,16
stress,amplify,hiphop,0.38109,0.4375,41
stress,amplify,jazz,-0.17202,0.04167,3
stress,amplify,edm,-0.08766,0.03125,2
stress,amplify,ambient,0.01703,0.13542,12
stress,amplify,metal,-0.12642,0.02083,1
stress,suppress,pop,-0.08977,0.06202,7
stress,suppress,rock,-0.01089,0.10078,12
stress,suppress,classical,-0.27167,0.0155,1
stress,suppress,hiphop,0.11549,0.2093,26
stress,suppress,jazz,-0.2987,0.02326,2
stress,suppress,edm,-0.21131,0.0155,1
stress,suppress,ambient,0.16323,0.24806,31
stress,suppress,metal,0.25311,0.32558,41
stress,stabilize,pop,0.33318,0.37079,32
stress,stabilize,rock,-0.05779,0.02247,1
stress,stabilize,classical,-0.10704,0.02247,1
stress,stabilize,hiphop,-0.14219,0.02247,1
stress,stabilize,jazz,0.30516,0.37079,32
stress,stabilize,edm,-0.14357,0.02247,1
stress,stabilize,ambient,-0.02736,0.10112,8
stress,stabilize,metal,-0.0165,0.06742,5
stress,focus,pop,0.17681,0.30841,32
stress,focus,rock,-0.06018,0.01869,1
stress,focus,classical,0.24585,0.27103,28
stress,focus,hiphop,0.13821,0.2243,23
stress,focus,jazz,-0.07281,0.01869,1
stress,focus,edm,-0.0594,0.01869,1
stress,focus,ambient,-0.01159,0.06542,6
stress,focus,metal,-0.0267,0.07477,7
stress,neutralize,pop,-0.06225,0.08642,6
stress,neutralize,rock,-0.12737,0.02469,1
stress,neutralize,classical,0.06396,0.24691,19
stress,neutralize,hiphop,-0.1639,0.02469,1
stress,neutralize,jazz,-0.04481,0.12346,9
stress,neutralize,edm,0.00823,0.02469,1
stress,neutralize,ambient,0.45517,0.44444,35
stress,neutralize,metal,-0.13523,0.02469,1
stress,gradual,pop,0.54583,0.624,77
stress,gradual,rock,-0.12473,0.024,2
stress,gradual,classical,-0.15111,0.024,2
stress,gradual,hiphop,-0.24801,0.024,2
stress,gradual,jazz,-0.19347,0.016,1
stress,gradual,edm,-0.1511,0.072,8
stress,gradual,ambient,-0.0542,0.176,21
stress,gradual,metal,-0.15691,0.04,4
motivation,amplify,pop,-0.04239,0.072,8
motivation,amplify,rock,0.05653,0.184,22
motivation,amplify,classical,0.00825,0.08,9
motivation,amplify,hiphop,-0.05025,0.176,21
motivation,amplify,jazz,-0.19785,0.04,4
motivation,amplify,edm,0.37236,0.416,51
motivation,amplify,ambient,-0.12155,0.016,1
motivation,amplify,metal,-0.11205,0.016,1
motivation,suppress,pop,-0.1836,0.04651,3
motivation,suppress,rock,-0.17002,0.02326,1
motivation,suppress,classical,-0.04587,0.04651,3
motivation,suppress,hiphop,-0.08949,0.03488,2
motivation,suppress,jazz,-0.05581,0.05814,4
motivation,suppress,edm,-0.0233,0.02326,1
motivation,suppress,ambient,0.29253,0.36047,30
motivation,suppress,metal,0.35515,0.40698,34
motivation,stabilize,pop,-0.0898,0.10811,11
motivation,stabilize,rock,-0.05284,0.02703,2
motivation,stabilize,classical,-0.13846,0.01802,1
motivation,stabilize,hiphop,0.197,0.30631,33
motivation,stabilize,jazz,0.38854,0.48649,53
motivation,stabilize,edm,-0.1513,0.01802,1
motivation,stabilize,ambient,-0.08753,0.01802,1
motivation,stabilize,metal,-0.10947,0.01802,1
motivation,focus,pop,-0.17822,0.02857,1
motivation,focus,rock,-0.14891,0.05714,3
motivation,focus,classical,0.30754,0.47143,32
motivation,focus,hiphop,0.02588,0.14286,9
motivation,focus,jazz,-0.0213,0.05714,3
motivation,focus,edm,-0.0619,0.07143,4
motivation,focus,ambient,-0.2069,0.04286,2
motivation,focus,metal,-0.00546,0.12857,8
motivation,neutralize,pop,-0.03574,0.125,11
motivation,neutralize,rock,-0.04154,0.03125,2
motivation,neutralize,classical,-0.03957,0.10417,9
motivation,neutralize,hiphop,-0.21577,0.02083,1
motivation,neutralize,jazz,0.22231,0.375,35
motivation,neutralize,edm,-0.25653,0.02083,1
motivation,neutralize,ambient,0.19067,0.30208,28
motivation,neutralize,metal,-0.12847,0.02083,1
motivation,gradual,pop,-0.19014,0.02083,1
motivation,gradual,rock,-0.13467,0.02083,1
motivation,gradual,classical,-0.05114,0.02083,1
motivation,gradual,hiphop,-0.09364,0.02083,1
motivation,gradual,jazz,0.00976,0.125,11
motivation,gradual,edm,0.64388,0.69792,66
motivation,gradual,ambient,-0.13824,0.02083,1
motivation,gradual,metal,-0.04511,0.07292,6
relax,amplify,pop,-0.12447,0.02,1
relax,amplify,rock,-0.14276,0.07,6
relax,amplify,classical,-0.11324,0.02,1
relax,amplify,hiphop,0.27964,0.35,34
relax,amplify,jazz,0.16577,0.28,27
relax,amplify,edm,-0.20075,0.02,1
relax,amplify,ambient,-0.002,0.08,7
relax,amplify,metal,0.05823,0.16,15
relax,suppress,pop,-0.14106,0.02632,1
relax,suppress,rock,0.16774,0.22368,16
relax,suppress,classical,-0.08134,0.02632,1
relax,suppress,hiphop,0.33362,0.34211,25
relax,suppress,jazz,0.04571,0.06579,4
relax,suppress,edm,-0.16432,0.02632,1
relax,suppress,ambient,-0.10926,0.02632,1
relax,suppress,metal,0.09908,0.26316,19
relax,stabilize,pop,0.07278,0.2,20
relax,stabilize,rock,-0.04717,0.01905,1
relax,stabilize,classical,-0.08993,0.08571,8
relax,stabilize,hiphop,-0.15045,0.01905,1
relax,stabilize,jazz,0.44545,0.51429,53
relax,stabilize,edm,0.04259,0.12381,12
relax,stabilize,ambient,-0.19596,0.01905,1
relax,stabilize,metal,-0.1866,0.01905,1
relax,focus,pop,-0.1734,0.0198,1
relax,focus,rock,-0.05367,0.06931,6
relax,focus,classical,-0.11908,0.08911,8
relax,focus,hiphop,-0.05914,0.0495,4
relax,focus,jazz,0.34967,0.38614,38
relax,focus,edm,-0.15939,0.0198,1
relax,focus,ambient,0.19634,0.34653,34
relax,focus,metal,-0.22803,0.0198,1
relax,neutralize,pop,-0.06841,0.14286,10
relax,neutralize,rock,-0.02713,0.12987,9
relax,neutralize,classical,-0.08757,0.03896,2
relax,neutralize,hiphop,-0.1644,0.02597,1
relax,neutralize,jazz,0.51108,0.53247,40
relax,neutralize,edm,-0.17331,0.02597,1
relax,neutralize,ambient,-0.08296,0.06494,4
relax,neutralize,metal,-0.12763,0.03896,2
relax,gradual,pop,-0.09222,0.10577,10
relax,gradual,rock,-0.05376,0.02885,2
relax,gradual,classical,-0.12559,0.01923,1
relax,gradual,hiphop,-0.13247,0.05769,5
relax,gradual,jazz,-0.03946,0.03846,3
relax,gradual,edm,-0.01267,0.08654,8
relax,gradual,ambient,0.5082,0.625,64
relax,gradual,metal,-0.01004,0.03846,3
